HPM20_mon output - time series of water dynamics - units: depth/thickness: m or m/y; time: y 
 time  annWTD   annPPT   annSnow  annRain  annSublim  annAET   annPET   annRUNOFF annRUNON   annNetWatIn  
  188.5   -0.01144    0.36978    0.18519    0.18499    0.07275    0.24614    0.40171    0.54176    0.46523    0.00000   
  189.5   -0.02177    0.47677    0.17074    0.30358    0.04065    0.31191    0.38938    0.33948    0.20934    0.00000   
  190.5   -0.01997    0.46425    0.23651    0.22993    0.06312    0.24632    0.37811    0.54663    0.42038    0.00000   
  191.5   -0.01838    0.49030    0.22704    0.26552    0.08302    0.29065    0.37385    0.61737    0.46495    0.00000   
  192.5   -0.01501    0.44182    0.16336    0.27811    0.06546    0.35628    0.42857    0.52195    0.46492    0.00000   
  193.5   -0.01796    0.47132    0.23339    0.23451    0.06280    0.29730    0.36225    0.52730    0.46500    0.00000   
  194.5   -0.01126    0.42132    0.22652    0.19965    0.05954    0.24226    0.38336    0.65787    0.46494    0.00000   
  195.5   -0.01599    0.42443    0.20307    0.22032    0.07888    0.22876    0.39166    0.55482    0.46488    0.00000   
  196.5   -0.02516    0.44875    0.13389    0.31262    0.07069    0.29348    0.36417    0.11511    0.03325    0.00000   
  197.5   -0.01608    0.41027    0.19370    0.21847    0.04212    0.22553    0.36767    0.59661    0.46476    0.00000   
  198.5   -0.00879    0.47089    0.18777    0.28427    0.03497    0.32956    0.42260    0.56375    0.46466    0.00000   
  199.5   -0.01871    0.44561    0.22084    0.22551    0.08012    0.22947    0.37736    0.58953    0.44162    0.00000   
  200.5   -0.02006    0.47530    0.20430    0.27005    0.07538    0.25102    0.39561    0.56757    0.38597    0.00000   
  201.5   -0.02681    0.48783    0.17529    0.31255    0.07155    0.22875    0.36572    0.24070    0.03848    0.00000   
  202.5   -0.02270    0.41951    0.20631    0.21538    0.06902    0.29501    0.36404    0.24869    0.23126    0.00000   
  203.5   -0.02382    0.45672    0.19199    0.26172    0.06906    0.29884    0.36791    0.17470    0.07914    0.00000   
  204.5   -0.02192    0.44770    0.20934    0.24064    0.06250    0.29662    0.35912    0.33171    0.25296    0.00000   
  205.5   -0.02300    0.41674    0.20024    0.21773    0.07813    0.20425    0.35078    0.33052    0.17361    0.00000   
  206.5   -0.01973    0.42145    0.14912    0.27338    0.08235    0.30582    0.38816    0.49298    0.43296    0.00000   
  207.5   -0.02014    0.45888    0.18274    0.27559    0.06170    0.22719    0.35623    0.56844    0.41015    0.00000   
  208.5   -0.02329    0.48722    0.18444    0.30177    0.07005    0.30740    0.37745    0.29044    0.18811    0.00000   
  209.5   -0.01831    0.50522    0.20800    0.29623    0.09070    0.23410    0.39922    0.62893    0.46388    0.00000   
  210.5   -0.01620    0.44000    0.21192    0.22930    0.06415    0.38259    0.46000    0.45348    0.46050    0.00000   
  211.5   -0.01320    0.47568    0.20619    0.26872    0.05637    0.31439    0.39899    0.59403    0.46374    0.00000   
  212.5   -0.02096    0.42541    0.18984    0.23722    0.06559    0.19666    0.33031    0.54916    0.36417    0.00000   
  213.5   -0.01795    0.43570    0.18127    0.25644    0.05126    0.34236    0.43522    0.49469    0.46363    0.00000   
  214.5   -0.01473    0.35711    0.20431    0.15474    0.05996    0.30753    0.37438    0.51576    0.51364    0.00000   
  215.5   -0.02355    0.47458    0.19008    0.29050    0.06160    0.21587    0.34428    0.43075    0.21948    0.00000   
  216.5   -0.02614    0.46180    0.19806    0.26482    0.07606    0.20616    0.34358    0.27204    0.07577    0.00000   
  217.5   -0.02486    0.45040    0.19361    0.25286    0.06824    0.28292    0.35116    0.23318    0.14657    0.00000   
  218.5   -0.02502    0.51810    0.22412    0.29270    0.07070    0.21183    0.34925    0.24994    0.00556    0.00000   
  219.5   -0.02819    0.51401    0.19058    0.32236    0.06359    0.22341    0.35843    0.22674    0.00000    0.00000   
  220.5   -0.01990    0.36393    0.15724    0.20620    0.07394    0.20367    0.34050    0.51169    0.42235    0.00000   
  221.5   -0.02647    0.41520    0.17970    0.23738    0.06639    0.26646    0.33285    0.12351    0.05705    0.00000   
  222.5   -0.02453    0.49535    0.21977    0.27506    0.08059    0.20038    0.35367    0.38134    0.16526    0.00000   
  223.5   -0.01874    0.48767    0.24036    0.24929    0.06331    0.22780    0.36126    0.54962    0.36152    0.00000   
  224.5   -0.01707    0.43310    0.18475    0.24930    0.06704    0.21746    0.34830    0.66468    0.44938    0.00000   
  225.5   -0.01920    0.36117    0.14608    0.21334    0.06314    0.30602    0.36916    0.44595    0.46115    0.00000   
  226.5   -0.01603    0.47017    0.18539    0.28425    0.06528    0.31186    0.38248    0.54585    0.46269    0.00000   
  227.5   -0.01117    0.37636    0.21376    0.16432    0.06771    0.31383    0.39562    0.43860    0.46262    0.00000   
  228.5   -0.02096    0.45402    0.23459    0.21886    0.07118    0.22257    0.35876    0.49459    0.34451    0.00000   
  229.5   -0.01946    0.46086    0.23049    0.23347    0.06944    0.22209    0.36344    0.66312    0.44616    0.00000   
  230.5   -0.02382    0.50948    0.25063    0.25707    0.07189    0.26092    0.33281    0.20080    0.07428    0.00000   
  231.5   -0.02436    0.40816    0.13562    0.27040    0.06375    0.22059    0.35263    0.37609    0.17448    0.00000   
  232.5   -0.02113    0.52809    0.21439    0.31869    0.04114    0.28584    0.36678    0.48412    0.32380    0.00000   
  233.5   -0.02671    0.42854    0.19176    0.23865    0.06642    0.26066    0.32708    0.15717    0.04156    0.00000   
  234.5   -0.02160    0.44128    0.16323    0.27683    0.07031    0.29150    0.36181    0.43564    0.32722    0.00000   
  235.5   -0.02377    0.41418    0.17623    0.24019    0.06195    0.30449    0.38506    0.21373    0.17856    0.00000   
  236.5   -0.01128    0.45713    0.20823    0.24791    0.07888    0.32864    0.42008    0.49256    0.46217    0.00000   
  237.5   -0.01995    0.46084    0.22154    0.24030    0.07708    0.23027    0.37998    0.59259    0.41879    0.00000   
  238.5   -0.01569    0.37543    0.18240    0.19481    0.06132    0.23755    0.37332    0.56836    0.46205    0.00000   
  239.5   -0.02009    0.43452    0.20415    0.23322    0.07369    0.21655    0.35412    0.56546    0.41092    0.00000   
